"Payment successful. Transaction ID: ","Επιτυχημένη πληρωμή. Κωδικός συναλλαγής: "
"Loading...","Φόρτωση..."
"You are transferred to Eurobank's secure payment environment. <input type='submit' value='Click here'> if you are not automatically transferred.","Μεταφέρεστε στο ασφαλές περιβάλλον πληρωμής της Eurobank. <input type='submit' value='Πατήστε εδώ'> αν δεν μεταφερθείτε αυτόματα."
